id,nombre,descripcion,categoria,precio,precioAnterior,imagen,ingredientes,peso,stock,promocion,etiquetas,badge,cookTime,portions,estado
muzza-clasica,Muzzarella Clasica,"Masa artesanal, salsa de tomate, abundante muzzarella, aderezo especial y aceitunas verdes descarozadas.",clasica,7700,,/pizzas/muzza.png,"Mozzarella, salsa de tomate, aceitunas verdes",500g,25,,,mas-vendida,15 min,4-6 porciones,disponible
clasica-jamon,Clasica de Jamon,"Masa artesanal, salsa de tomate, muzzarella, abundante jamon cocido, aderezo especial y aceitunas verdes descarozadas.",clasica,8000,,/pizzas/jamon.png,"Mozzarella, jamon cocido, aceitunas verdes",500g,20,,,,15 min,4-6 porciones,disponible
clasica-salame,Clasica de Salame,"Mozzarella cremosa, salsa de tomate, generosas fetas de salame seleccionado y aceitunas negras descarozadas.",clasica,8500,,/pizzas/salame.png,"Mozzarella, salame, aceitunas negras",500g,18,,,nueva,15 min,4-6 porciones,disponible
queso-azul,Queso Azul (Roquefort),"Mozzarella cremosa, salsa de tomate y queso azul (Roquefort), que aporta un sabor intenso, cremoso y lleno de personalidad.",clasica,8500,,/pizzas/azul.png,"Mozzarella, queso azul Roquefort",500g,15,,,,15 min,4-6 porciones,disponible
provolone-oregano,Provolone y Oregano,"Provolone picante fundido con oregano fresco. Para los amantes del queso fuerte con personalidad.",gourmet,9000,,/pizzas/provolone-oregano.jpg,"Provolone, oregano",500g,15,,,,15 min,4-6 porciones,disponible
salame-premium,Salame Premium (Tandil),"Salame artesanal de Tandil en rodajas, aceitunas verdes descarozadas, mozzarella y un toque de aji molido.",gourmet,9000,,/pizzas/salame.png,"Mozzarella, salame Tandil, aceitunas",500g,12,,,nueva,15 min,4-6 porciones,disponible
panceta-ahumada,Panceta Ahumada,"Panceta ahumada en cubos sobre mozzarella fundida. Ahumado intenso y crocante que conquista.",gourmet,9400,,/pizzas/panceta-ahumada.jpg,"Mozzarella, panceta ahumada",500g,15,,,,15 min,4-6 porciones,disponible
queso-azul-gourmet,Queso Azul Gourmet,"Queso azul desmenuzado sobre mozzarella con un toque de miel. Sabor intenso e inconfundible.",gourmet,9400,,/pizzas/azul.png,"Mozzarella, queso azul, miel",500g,12,,,,15 min,4-6 porciones,disponible
cuatro-quesos,Cuatro Quesos (Seleccion tecnica),"Mozzarella, provolone, parmesano y queso azul. La explosion de quesos semiduros en su maxima expresion.",premium,10300,,/pizzas/cuatro-quesos.jpg,"Mozzarella, provolone, parmesano, queso azul",500g,10,,,premium,15 min,4-6 porciones,disponible
napolitana-asada,Napolitana Asada (Tomates asados),"Tomates asados lentamente, ajo confitado y mozzarella sobre masa artesanal. La Napolitana, reinventada.",premium,10300,,/pizzas/muzza.png,"Mozzarella, tomates asados, ajo",500g,10,,,nueva,15 min,4-6 porciones,disponible
pollo-verdeo,Pollo al Verdeo (Reduccion espesa),"Pollo desmenuzado con verdeo salteado y reduccion espesa sobre mozzarella cremosa.",premium,11000,,/pizzas/muzza.png,"Mozzarella, pollo, verdeo",500g,8,,,premium,18 min,4-6 porciones,disponible
carne-desmenuzada,Carne Desmenuzada (Coccion lenta),"Carne desmenuzada a coccion lenta con cebolla caramelizada y especias sobre mozzarella.",premium,11000,,/pizzas/muzza.png,"Mozzarella, carne, cebolla",500g,8,,,premium,18 min,4-6 porciones,disponible
ind-muzzarella,Individual Muzzarella,"Pizza individual de mozzarella premium con salsa de tomate natural. Una porcion perfecta para uno.",individual,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, salsa de tomate",300g,20,,,,12 min,1 porcion,disponible
ind-especial-jamon,Individual Especial Jamon,"Pizza individual con jamon natural y mozzarella cremosa. El clasico en tamano personal.",individual,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, jamon",300g,20,,,,12 min,1 porcion,disponible
ind-cuatro-quesos,Individual Cuatro Quesos,"Pizza individual de mozzarella, provolone, parmesano y queso azul. Explosion de quesos para uno solo.",individual,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, provolone, parmesano, queso azul",300g,15,,,,12 min,1 porcion,disponible
ind-panceta,Individual Panceta Ahumada,"Pizza individual de panceta ahumada en cubos sobre mozzarella fundida.",individual,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, panceta ahumada",300g,15,,,,12 min,1 porcion,disponible
mini-muzzarella,Mini Muzzarella,"Mini pizza de mozzarella premium con salsa de tomate natural y oregano. Perfecta para picar.",mini-pizzeta,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, salsa de tomate, oregano",180g,25,,,,10 min,6 unidades,disponible
mini-jamon-morron,Mini Jamon y Morron,"Mini pizza con jamon natural, morron asado y mozzarella. Clasica en formato bite.",mini-pizzeta,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, jamon, morron",180g,25,,,,10 min,6 unidades,disponible
mini-salame,Mini Salame,"Mini pizza de salame artesanal con mozzarella y un toque de aji molido. Intensa y crocante.",mini-pizzeta,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, salame, aji molido",180g,20,,,,10 min,6 unidades,disponible
mini-queso-azul,Mini Queso Azul,"Mini pizza de queso azul desmenuzado sobre mozzarella. Para los que buscan sabor fuerte en formato chico.",mini-pizzeta,10000,,/pizzas/mini-pizzetas.png,"Mozzarella, queso azul",180g,20,,,,10 min,6 unidades,disponible
